disc_id,name,cd_pn,case_pn,date,name,note,contributor,date_added
27,"IRIX 6.2",812-0695-001,814-0695-001,1997-09-01,"IRIX 6.2 Development Foundation",,jrra,
132,"IRIX 6.2",812-0695-003,,1999-05-01,"IRIX 6.2 Development Foundation 1.2",,jrra,
28,"IRIX 6.2",812-0698-001,814-0698-001,1997-09-01,"IRIX 6.2 Development Libraries",,jrra,
200,"IRIX 6.2",812-0687-016,,1998-07-01,"IRIX 6.2 Fix on Fail Patches (1 of 2)",,jrra,
201,"IRIX 6.2",812-0720-016,,1998-07-01,"IRIX 6.2 Fix on Fail Patches (2 of 2)",,jrra,
146,"IRIX 6.2",812-0469-002,813-0469-002,1996-06-01,"IRIX 6.2 with Indigo2 IMPACT 10000 (Part 1 of 2)","Supported Systems: Indigo2, R4K Indigo, Power Indigo2, Indigo2 IMPACT, Indigo2 IMPACT 10000",Ciao!,
147,"IRIX 6.2",812-0470-002,,1996-06-01,"IRIX 6.2 with Indigo2 IMPACT 10000 (Part 2 of 2)","Supported Systems: Indigo2, R4K Indigo, Power Indigo2, Indigo2 IMPACT, Indigo2 IMPACT 10000",Ciao!,
187,"IRIX 6.2",813-0305-006,812-0305-006,1996-08-01,"NFS/ONC3 for IRIX 6.2 Version 1.2",,jrra,
29,"IRIX 6.3",812-0696-001,814-0696-001,1997-09-01,"IRIX 6.3 Development Foundation",,jrra,
130,"IRIX 6.3",812-0696-003,,1999-05-01,"IRIX 6.3 Development Foundation 1.2",,jrra,
30,"IRIX 6.3",812-0699-001,814-0699-001,1997-09-01,"IRIX 6.3 Development Libraries",,jrra,
354,"IRIX 6.4",812-0622-001,,1997-05-01,"Digital Media 3.0",,jrra,2021-06-18
351,"IRIX 6.4",812-0688-007,,1997-10-01,"IRIX 6.3 and 6.4 Recommended/Required Patches October 1997",,jrra,2021-06-18
138,"IRIX 6.4",812-0616-002,813-0616-002,1997-02-01,"IRIX 6.4","for Origin, Onyx2, and OCTANE",jrra,
192,"IRIX 6.4",812-0617-003,813-0617-003,1997-08-01,"IRIX 6.4 Applications",,jrra,
352,"IRIX 6.4",812-0617-002,,1997-02-01,"IRIX 6.4 Applications",,jrra,2021-06-18
31,"IRIX 6.4",812-0697-001,814-0697-001,1997-09-01,"IRIX 6.4 Development Foundation",,jrra,
131,"IRIX 6.4",812-0697-003,,1999-05-01,"IRIX 6.4 Development Foundation 1.2",,jrra,
32,"IRIX 6.4",812-0700-001,814-0700-001,1997-09-01,"IRIX 6.4 Development Libraries",,jrra,
355,"IRIX 6.4",812-0778-001,,1998-06-01,"IRIX 6.4 Gigabit Ethernet",,jrra,2021-06-18
213,"IRIX 6.4",812-0722-030,026-1326-030,1999-09-01,"IRIX 6.4 Recommended Required Patches 1 of 2",,jrra,2020-08-21
214,"IRIX 6.4",812-0919-030,026-1326-030,1999-09-01,"IRIX 6.4 Recommended Required Patches 2 of 2",,jrra,2020-08-21
353,"IRIX 6.4",812-0672-003,,1997-08-01,"OCTANE I/O Patches August 1997",,jrra,2021-06-18
267,Inventor,812-0136-002,812-0136-002,1993-06-01,"IRIS Inventor 1.1.1",,jrra,2021-05-23
273,Inventor,812-0136-004,812-0136-004,1994-03-01,"Open Inventor 2.0",,jrra,2021-05-23
261,Inventor,812-0136-007,812-0136-007,1995-10-01,"Open Inventor 2.1",,jrra,2021-05-23
317,Inventor,812-0136-008,813-0136-008,1995-11-01,"Open Inventor 2.1.1",,jrra,2021-05-23
309,Inventor,,"",,"Open Inventor Games CD",,jrra,2021-05-23
